icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
屏東縣崁頂垃圾資源回收(焚化)廠,200305,18457.92,3999.26,19312.38,3434.26,841.01,16594.89,7934.4,5354,67.478,6178,1488,0,900,3752.9,0.000,wept5929
高雄市仁武垃圾資源回收(焚化)廠,200305,19617.91,17132.99,37191,7438.28,1487.66,18910,17144.9,21287.4,124.161,0,2062,170,1350,7547.77,0.000,weps2225
屏東縣崁頂垃圾資源回收(焚化)廠,200307,19300.38,10569.01,26790.53,5962.62,1444.05,20747.58,13013.1,9604.4,73.805,15725.7,1488,0,900,7255.07,0.000,wept5929
高雄市仁武垃圾資源回收(焚化)廠,200306,19018.39,15636.1,38568,7713.59,1542.72,12930,21326.1,17139.4,80.368,0,2007,153,1350,12552.47,0.000,weps2225
臺北市政府環境保護局北投垃圾焚化廠,200306,22609.74,7953.84,27980,2952.25,139.46,8895,11589,7226,62.352,11763.32,1660,1220,1800,2954.25,0.000,wepa4427
臺北市政府環境保護局內湖垃圾焚化廠,200306,10497.01,330.92,14813,1695.51,395.753,13035.4,2848.27,1176.89,41.319,1802,1719,441,900,2347.91,0.000,wepa4244
臺南市城西垃圾焚化廠,200306,15651.35,3169.86,20523,2800.98,704.4,5836.53,9330.72,7174.56,76.891,9842.817,1384,56,900,3583.64,0.000,wepd3244
嘉義縣鹿草垃圾焚化廠,200306,14087.92,7759.101,26980,4095.77,1158.22,6360,15805.6,13141.8,83.146,0,1440,0,900,0,0.000,WEPQ7513
新北市樹林垃圾焚化廠,200305,27567.6,0,21325,2821.87,389.09,7051,7153.5,5796.02,81.023,4915.006,1395,837,1350,0,0.000,WEPF0759
桃園市垃圾焚化廠,200305,38155.06,4568.14,43251,7548.5,2248.57,22940,24438.5,21205.5,86.77,25548,1480,8,1350,0,0.000,weph4335
高雄市岡山垃圾資源回收(焚化)廠,200305,22906.73,14938,35203,7040.63,1760.16,13310.4,19534.1,15747.9,80.617,15747.9,1961,271,1350,7456.36,0.000,weps1656
新竹市垃圾資源回收廠,200305,14204.25,9214.33,23560,3533.29,514.82,10449.72,12550.97,9667.2,77.023,10754.72,1407,81,900,3533.36,0.000,wepo1732
彰化縣溪州垃圾焚化廠,200305,24305.61,1956.27,27073,4116.97,1417.72,12523,13197.3,10158.2,76.971,11598.45,1470,18,900,2007.25,0.000,wepn3259
新北市樹林垃圾焚化廠,200304,32321.88,0,32173,4543.75,666.95,10282,13951.3,11260.06,80.709,13501.35,2058,102,1350,0,0.000,WEPF0759
臺中市后里資源回收廠,200305,13691.71,4094.06,15276,2596.89,763.79,5367.57,8897.8,7300.9,82.052,7099.125,855,633,900,3480.22,0.000,wepl9232
嘉義市垃圾焚化廠,200304,7598.7,0,7087,982.3,197.56,1620,1637.4,1060,64.736,1178.954,1372.5,67.5,300,0,0.000,wepi2617
臺中市文山垃圾焚化廠,200305,20710.46,1956.4,21214,2415.38,998.26,11075.13,9065.65,7139.31,78.751,7857.837,2232,0,900,3532.18,0.000,wepb2401
高雄市政府環境保護局中區資源回收廠,200304,16300.92,0,11715,1854.96,415,6650,1252.58,561.77,44.849,741.504,907,1253,900,0,0.000,wepe5004
新竹市垃圾資源回收廠,200304,15665.92,9062.22,25387,3610.46,642.98,12815.18,13555.96,11160,82.325,13092.19,1440,0,900,7513.56,0.000,wepo1732
臺北市政府環境保護局內湖垃圾焚化廠,200304,4771.52,3052.67,5951,1256.64,136.875,4685,1383.95,577.11,41.7,670,818,1342,900,84.34,0.000,wepa4244
